symbol,indicator,start_date,end_date,pattern_buy_repr,pattern_sell_repr,pattern_buy_size,pattern_sell_size,mean,std,skewness,kurtosis,entropy,n_total_partitions,n_partitions,clean_gains
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,2,2,2,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,3,2,2,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,4,0.03442352372179869
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,2,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,3,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,6,0.07411270662958991
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,4,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,4,-0.13943881613182185
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,5,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,7,0.09696113952358765
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,6,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,7,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,5,0.01284286234571752
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,2,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,3,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,0.010693485606831032
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,4,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,7,-0.051933113310612455
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,5,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,-0.0715255408615505
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,6,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,7,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,0.08146961397446262
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,8,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,7,-0.2528635149686629
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,9,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,7,0.17599728410199766
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,10,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,11,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,-0.00868119752012575
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,12,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,7,-0.08938747895940757
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,13,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,0.13123431193525903
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,14,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,15,2,4,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,7,-0.07010797007254865
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,2,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,3,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,-0.08216719958191376
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,4,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,-0.12399637764962179
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,5,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,-0.0715255408615505
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,6,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,7,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,0.08146961397446262
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,8,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,-0.14558186616581814
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,9,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,0.14016657892336326
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,10,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,11,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,-0.051689768435151606
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,12,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,-0.09155911908578318
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,13,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,14,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,15,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,-0.041583194551366276
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,16,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,7,-0.35947695566664173
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,17,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,18,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,19,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,0.09269686061333893
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,20,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,0.07687593582197216
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,21,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,22,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,23,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,24,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,-0.13992749942002014
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,25,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,0.04444115266908
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,26,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,27,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,0.008158639452995331
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,28,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,9,-0.02302011978269647
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,29,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,0.13123431193525903
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,30,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,10,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,2,31,2,5,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,10,8,-0.028524775521184154
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,3,2,2,2,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,12,2,-0.20488060407597786
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,3,3,2,2,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,12,12,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,3,2,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,12,7,-0.37821477416038185
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,3,3,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,12,12,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,3,4,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,12,6,-0.19108498798066798
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-12 23:59:00,3,5,2,3,0.0965852189020153,0.00083823963916087,-0.07056571729592813,-0.7418244931004256,7.271666063898953,12,9,0.07627374262737519
