symbol,indicator,start_date,end_date,ob_level,os_level,k,mean,std,skewness,kurtosis,entropy,n_total_partitions,n_partitions,clean_gains
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,43,-63,0.001,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,68,8,0.15705937882059295
ADA/USDT,wave_trend,2020-10-03 00:01:00,2020-10-10 00:00:00,43,-63,0.001,0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,75,11,4.233418630612617
ADA/USDT,wave_trend,2020-09-19 00:01:00,2020-09-26 00:00:00,43,-63,0.002,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,62,2,1.8328605104694464
ADA/USDT,wave_trend,2020-10-24 00:01:00,2020-10-31 00:00:00,43,-63,0.001,0.10209183829365079,0.005335311431759011,-0.4290359562076149,-1.0289703867155175,9.216931656386413,83,36,-13.175106249353941
ADA/USDT,wave_trend,2020-10-03 00:01:00,2020-10-10 00:00:00,43,-63,0.002,0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,72,12,3.6167704563124925
ADA/USDT,wave_trend,2020-10-31 00:01:00,2020-11-07 00:00:00,43,-63,0.001,0.09580591567460317,0.004486477495798008,1.6013803500644332,2.027985938290028,9.21723770484249,67,0,7.336500334696703
ADA/USDT,wave_trend,2020-09-26 00:01:00,2020-10-03 00:00:00,43,-63,0.003,0.09889329960317461,0.0036905093224315396,-0.21698625187508266,-0.9730347148040104,9.21761007935065,50,5,2.0980081566443722
ADA/USDT,wave_trend,2020-09-19 00:01:00,2020-09-26 00:00:00,43,-63,0.003,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,58,2,5.328558330561723
ADA/USDT,wave_trend,2020-10-03 00:01:00,2020-10-10 00:00:00,43,-63,0.003,0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,70,12,2.930260741043174
ADA/USDT,wave_trend,2020-11-07 00:01:00,2020-11-14 00:00:00,43,-63,0.001,0.1060296507936508,0.0022214948271087834,0.5849243721730875,1.1015644521325454,9.218089909493544,66,13,7.0353114170700835
ADA/USDT,wave_trend,2020-10-31 00:01:00,2020-11-07 00:00:00,43,-63,0.002,0.09580591567460317,0.004486477495798008,1.6013803500644332,2.027985938290028,9.21723770484249,66,0,7.021887476706171
ADA/USDT,wave_trend,2020-10-17 00:01:00,2020-10-24 00:00:00,43,-63,0.003,0.10682308432539682,0.0022764870641716695,0.009762555008507706,-0.32040855014668423,9.218081458323596,52,0,0.6191865166947679
ADA/USDT,wave_trend,2020-10-03 00:01:00,2020-10-10 00:00:00,43,-63,0.004,0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,68,11,2.441378278572678
ADA/USDT,wave_trend,2020-11-14 00:01:00,2020-11-21 00:00:00,43,-63,0.002,0.10589787003968253,0.003120491866360148,0.5724895451411425,0.3253228248079627,9.217876670722287,60,0,2.9657077420740876
ADA/USDT,wave_trend,2020-11-07 00:01:00,2020-11-14 00:00:00,43,-63,0.002,0.1060296507936508,0.0022214948271087834,0.5849243721730875,1.1015644521325454,9.218089909493544,64,11,6.838678661014146
ADA/USDT,wave_trend,2020-10-24 00:01:00,2020-10-31 00:00:00,43,-63,0.004,0.10209183829365079,0.005335311431759011,-0.4290359562076149,-1.0289703867155175,9.216931656386413,76,33,-12.181780640274608
ADA/USDT,wave_trend,2020-10-10 00:01:00,2020-10-17 00:00:00,43,-63,0.004,0.10728893353174603,0.002491525416731504,0.3369708262602336,-0.4185124953124135,9.218039565756186,54,6,6.357041944535453
ADA/USDT,wave_trend,2020-10-17 00:01:00,2020-10-24 00:00:00,43,-63,0.004,0.10682308432539682,0.0022764870641716695,0.009762555008507706,-0.32040855014668423,9.218081458323596,50,0,0.3119309294024095
ADA/USDT,wave_trend,2020-10-03 00:01:00,2020-10-10 00:00:00,43,-63,0.005,0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,62,9,2.7506139129972382
ADA/USDT,wave_trend,2020-11-07 00:01:00,2020-11-14 00:00:00,43,-63,0.003,0.1060296507936508,0.0022214948271087834,0.5849243721730875,1.1015644521325454,9.218089909493544,57,10,5.102642128921939
ADA/USDT,wave_trend,2020-10-24 00:01:00,2020-10-31 00:00:00,43,-63,0.005,0.10209183829365079,0.005335311431759011,-0.4290359562076149,-1.0289703867155175,9.216931656386413,73,31,-11.807336560359758
ADA/USDT,wave_trend,2020-10-10 00:01:00,2020-10-17 00:00:00,43,-63,0.005,0.10728893353174603,0.002491525416731504,0.3369708262602336,-0.4185124953124135,9.218039565756186,51,4,6.511196741356619
ADA/USDT,wave_trend,2020-09-19 00:01:00,2020-09-26 00:00:00,43,-63,0.006,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,43,0,1.0410469452893736
ADA/USDT,wave_trend,2020-10-17 00:01:00,2020-10-24 00:00:00,43,-63,0.005,0.10682308432539682,0.0022764870641716695,0.009762555008507706,-0.32040855014668423,9.218081458323596,49,0,1.264692600223567
ADA/USDT,wave_trend,2020-11-07 00:01:00,2020-11-14 00:00:00,43,-63,0.004,0.1060296507936508,0.0022214948271087834,0.5849243721730875,1.1015644521325454,9.218089909493544,52,9,4.410239724214186
