symbol,indicator,start_date,end_date,ob_level,os_level,k,mean,std,skewness,kurtosis,entropy,n_total_partitions,n_partitions,clean_gains
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.001,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,8,3,-0.48674653836647686
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.002,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,8,3,-0.48674653836647686
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.003,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,7,2,-0.48674653836647686
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.004,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,6,2,-0.1771861337104852
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.005,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,6,2,-0.1976612952123027
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.006,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,6,2,-0.06440093610847342
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.007,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,6,3,0.11350385107510874
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.008,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,5,2,0.11350385107510874
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.009000000000000001,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,3,0,0.3841160543139015
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.010000000000000002,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,3,0,0.3841160543139015
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.011,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,3,1,-0.05290370763871799
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.012,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,3,1,-0.05290370763871799
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.013000000000000001,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,3,1,-0.05290370763871799
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.014000000000000002,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,3,1,-0.05290370763871799
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.015,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,3,1,-0.05290370763871799
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.016,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,2,0,-0.22937016015117884
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.017,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,2,1,0.04467161171019107
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.018000000000000002,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,2,1,0.04467161171019107
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.019000000000000003,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,1,1,0.0
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.02,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,1,1,0.0
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.021,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,1,1,0.0
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.022000000000000002,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,1,1,0.0
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.023,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,1,1,0.0
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.024,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,1,1,0.0
ADA/USDT,wave_trend,2020-09-12 00:01:00,2020-09-19 00:00:00,53,-53,0.025,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,1,1,0.0
