symbol,indicator,start_date,end_date,pattern_buy_repr,pattern_sell_repr,pattern_buy_size,pattern_sell_size,mean,std,skewness,kurtosis,entropy,n_total_partitions,n_partitions,clean_gains
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-19 00:00:00,2,2,2,2,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,100,100,0
ADA/USDT,bolt,2020-09-19 00:01:00,2020-09-26 00:00:00,2,2,2,2,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,100,100,0
ADA/USDT,bolt,2020-09-26 00:01:00,2020-10-03 00:00:00,2,2,2,2,0.09889329960317461,0.0036905093224315396,-0.21698625187508266,-0.9730347148040104,9.21761007935065,100,100,0
ADA/USDT,bolt,2020-09-19 00:01:00,2020-09-26 00:00:00,2,3,2,2,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,437,0,-14.702770434933031
ADA/USDT,bolt,2020-09-26 00:01:00,2020-10-03 00:00:00,2,3,2,2,0.09889329960317461,0.0036905093224315396,-0.21698625187508266,-0.9730347148040104,9.21761007935065,432,2,-10.204398380170593
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-19 00:00:00,2,2,2,3,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,100,100,0
ADA/USDT,bolt,2020-09-26 00:01:00,2020-10-03 00:00:00,2,2,2,3,0.09889329960317461,0.0036905093224315396,-0.21698625187508266,-0.9730347148040104,9.21761007935065,100,100,0
ADA/USDT,bolt,2020-09-19 00:01:00,2020-09-26 00:00:00,2,2,2,3,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,100,100,0
ADA/USDT,bolt,2020-10-10 00:01:00,2020-10-17 00:00:00,2,2,2,2,0.10728893353174603,0.002491525416731504,0.3369708262602336,-0.4185124953124135,9.218039565756186,100,100,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-19 00:00:00,2,3,2,3,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,358,96,-29.000694882272327
ADA/USDT,bolt,2020-09-19 00:01:00,2020-09-26 00:00:00,2,3,2,3,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,361,95,-33.38311902453319
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-19 00:00:00,2,4,2,3,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,345,97,-28.36074491850524
ADA/USDT,bolt,2020-10-24 00:01:00,2020-10-31 00:00:00,2,2,2,2,0.10209183829365079,0.005335311431759011,-0.4290359562076149,-1.0289703867155175,9.216931656386413,100,100,0
ADA/USDT,bolt,2020-09-12 00:01:00,2020-09-19 00:00:00,2,5,2,3,0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,327,96,-27.41582221605391
ADA/USDT,bolt,2020-10-31 00:01:00,2020-11-07 00:00:00,2,2,2,2,0.09580591567460317,0.004486477495798008,1.6013803500644332,2.027985938290028,9.21723770484249,100,100,0
ADA/USDT,bolt,2020-09-26 00:01:00,2020-10-03 00:00:00,2,4,2,3,0.09889329960317461,0.0036905093224315396,-0.21698625187508266,-0.9730347148040104,9.21761007935065,359,97,-12.738258172277456
ADA/USDT,bolt,2020-09-19 00:01:00,2020-09-26 00:00:00,2,4,2,3,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,351,94,-39.2216863861069
ADA/USDT,bolt,2020-10-03 00:01:00,2020-10-10 00:00:00,2,3,2,3,0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,358,100,5.210049623975795
ADA/USDT,bolt,2020-10-17 00:01:00,2020-10-24 00:00:00,2,3,2,2,0.10682308432539682,0.0022764870641716695,0.009762555008507706,-0.32040855014668423,9.218081458323596,435,0,-0.43751823792098854
ADA/USDT,bolt,2020-10-31 00:01:00,2020-11-07 00:00:00,2,3,2,2,0.09580591567460317,0.004486477495798008,1.6013803500644332,2.027985938290028,9.21723770484249,444,3,-0.6391225810354175
ADA/USDT,bolt,2020-10-10 00:01:00,2020-10-17 00:00:00,2,3,2,3,0.10728893353174603,0.002491525416731504,0.3369708262602336,-0.4185124953124135,9.218039565756186,359,98,-10.400665651083354
ADA/USDT,bolt,2020-09-19 00:01:00,2020-09-26 00:00:00,2,5,2,3,0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.21611406574356,276,96,-37.346020634498544
ADA/USDT,bolt,2020-11-07 00:01:00,2020-11-14 00:00:00,2,3,2,2,0.1060296507936508,0.0022214948271087834,0.5849243721730875,1.1015644521325454,9.218089909493544,443,4,-2.142635582811156
ADA/USDT,bolt,2020-10-31 00:01:00,2020-11-07 00:00:00,2,2,2,3,0.09580591567460317,0.004486477495798008,1.6013803500644332,2.027985938290028,9.21723770484249,100,100,0
ADA/USDT,bolt,2020-09-26 00:01:00,2020-10-03 00:00:00,2,6,2,3,0.09889329960317461,0.0036905093224315396,-0.21698625187508266,-0.9730347148040104,9.21761007935065,100,100,0
ADA/USDT,bolt,2020-10-10 00:01:00,2020-10-17 00:00:00,2,4,2,3,0.10728893353174603,0.002491525416731504,0.3369708262602336,-0.4185124953124135,9.218039565756186,353,97,-12.272392331122427
