mean,std,skewness,kurtosis,entropy,ob_level,os_level,k,clean_gains,r2
0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,51,-50,0.010000000000000002,2.437187609666418,0.8700837318873765
0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.216114065743561,56,-60,0.003,6.027876857859544,0.6962556500566985
0.0988932996031746,0.00369050932243154,-0.21698625187508264,-0.9730347148040104,9.217610079350651,56,-55,0.001,3.6029121656885508,0.8221898650121602
0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,51,-63,0.009000000000000001,4.460770473389117,0.9173301170553022
0.10728893353174604,0.002491525416731504,0.3369708262602336,-0.4185124953124135,9.218039565756184,43,-60,0.002,6.700976905420735,0.9700012514884417
0.10682308432539682,0.002276487064171669,0.009762555008507706,-0.32040855014668423,9.218081458323596,56,-50,0.010000000000000002,2.676909809583566,0.7629889498715148
0.1020918382936508,0.005335311431759011,-0.4290359562076149,-1.0289703867155175,9.216931656386413,56,-63,0.024,0.49374245538729516,0.98039978699489
0.09580591567460316,0.004486477495798008,1.6013803500644332,2.027985938290028,9.21723770484249,51,-50,0.006,11.58178898840139,0.9417795390257219
0.1060296507936508,0.0022214948271087834,0.5849243721730875,1.1015644521325454,9.218089909493543,51,-63,0.001,7.100751033254458,0.9607646264218404
0.10589787003968253,0.003120491866360148,0.5724895451411425,0.3253228248079627,9.217876670722287,56,-55,0.001,3.3994690565162617,0.8181911160450874
0.14516636706349206,0.0160010799986536,0.2665635664827828,-1.2157754182811291,9.212272363312618,56,-50,0.007,20.143816543384975,0.9427325171884946
0.16037600698602794,0.007028305603955492,-0.8367897614305396,0.7738320972280728,9.211365240880543,56,-60,0.001,4.9716004080801515,0.7195929518764161
0.14892188492063496,0.0076180707364047456,-0.14037495132803626,-1.4032969814023288,9.216996208803417,56,-63,0.027000000000000003,1.549375291660452,0.9513098991980512
0.15631159920634924,0.007980002900772548,0.17815379836470752,-0.9886962535094844,9.217008344323009,51,-50,0.001,11.332366370828238,0.9733360460017036
0.15625223924813567,0.00880018962437615,-0.6147022869574925,-0.17139931225503524,9.187407943953145,46,-60,0.005,3.9407252882508685,0.914607806269572
0.1724483700396825,0.01192957331542163,-0.3539773516830009,-1.3608291032619573,9.215893257422724,56,-50,0.012,23.982203925159524,0.8923738582910015
0.245960878968254,0.05460232206436055,0.14326271693657766,-1.4397345017582253,9.193618009761996,56,-50,0.008,40.22751925438972,0.865794837673541
0.3007518244047619,0.02022187753350752,-0.5100198726991683,0.009640003538100128,9.216017026333995,62,-44,0.001,1.7508413965602556,0.18588625880273368
0.3557804424603174,0.021734334999066216,-0.8444472831345597,0.015616775017171847,9.216406943983852,43,-63,0.023,1.3111649639743528,0.4862784728235654
0.3436889910714286,0.01272388291724015,-0.8140809092793047,0.2359148884347415,9.217615903463543,43,-60,0.001,2.350346641555529,0.8160203729618306
0.4068884284155174,0.054809513031990525,0.5525943714824919,-0.4816874963257409,9.209300341424747,51,-50,0.008,35.79810746604829,0.9267648716174924
