mean,std,skewness,kurtosis,entropy,ob_level,os_level,k,clean_gains
0.09428039682539682,0.0023457011746308588,0.0556116905695461,-0.9852328070927858,9.217999142442846,48,-48,0.011000000000000001,2.5350020481471582
0.08552860515873016,0.0056806859266583494,0.2832335008185921,-1.2220780350904188,9.216114065743561,48,-63,0.005,7.063022784050473
0.0988932996031746,0.00369050932243154,-0.21698625187508264,-0.9730347148040104,9.217610079350651,58,-48,0.009000000000000001,3.8765401258205627
0.09509689087301587,0.0023259610928502124,0.4098313309514585,-0.21087332517426027,9.218010371158698,48,-58,0.009000000000000001,4.6986872999230025
0.10728893353174604,0.002491525416731504,0.3369708262602336,-0.4185124953124135,9.218039565756184,48,-63,0.002,6.6559643966865965
0.10682308432539682,0.002276487064171669,0.009762555008507706,-0.32040855014668423,9.218081458323596,58,-48,0.010000000000000002,3.075382754264183
0.1020918382936508,0.005335311431759011,-0.4290359562076149,-1.0289703867155175,9.216931656386413,48,-48,0.027999999999999997,0.2790176254437497
0.09580591567460316,0.004486477495798008,1.6013803500644332,2.027985938290028,9.21723770484249,53,-48,0.006,11.947713216777064
0.1060296507936508,0.0022214948271087834,0.5849243721730875,1.1015644521325454,9.218089909493543,58,-63,0.001,7.035311417070084
0.10589787003968253,0.003120491866360148,0.5724895451411425,0.3253228248079627,9.217876670722287,43,-48,0.001,3.333066876452815
0.14516636706349206,0.0160010799986536,0.2665635664827828,-1.2157754182811291,9.212272363312618,53,-48,0.006999999999999999,20.838376477743168
0.16037600698602794,0.007028305603955492,-0.8367897614305396,0.7738320972280728,9.211365240880543,43,-53,0.016,6.681312147568028
0.14892188492063496,0.0076180707364047456,-0.14037495132803626,-1.4032969814023288,9.216996208803417,43,-63,0.017,0.2392767757043881
0.15631159920634924,0.007980002900772548,0.17815379836470752,-0.9886962535094844,9.217008344323009,58,-48,0.001,11.447483590349519
0.15625223924813567,0.00880018962437615,-0.6147022869574925,-0.17139931225503524,9.187407943953145,48,-63,0.005,4.001621196081601
0.1724483700396825,0.01192957331542163,-0.3539773516830009,-1.3608291032619573,9.215893257422724,53,-53,0.013,24.446468737794643
0.245960878968254,0.05460232206436055,0.14326271693657766,-1.4397345017582253,9.193618009761996,58,-48,0.008,43.76052227896741
0.3007518244047619,0.02022187753350752,-0.5100198726991683,0.009640003538100128,9.216017026333995,58,-48,0.014000000000000002,3.688290584486566
0.3557804424603174,0.021734334999066216,-0.8444472831345597,0.015616775017171847,9.216406943983852,48,-63,0.019000000000000003,0.22280964401821104
0.3436889910714286,0.01272388291724015,-0.8140809092793047,0.2359148884347415,9.217615903463543,43,-63,0.003,1.8687738119282715
0.4068884284155174,0.054809513031990525,0.5525943714824919,-0.4816874963257409,9.209300341424747,58,-48,0.006999999999999999,36.6695199768902
